Команда (HEX);Размер параметра команды (DEC);Тип параметра команды;Значения параметра команды (DEC);Описание команды;Размер параметра ответа (DEC);Тип параметра ответа;Значения параметра ответа (DEC);Описание ответа;Комментарии
01;;;;Запрос дампа ;;;;Запрос дампа ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Код устройства1 ;2;number;;Кол-во блоков данных [*248 byte];
;;;0;стационарная проверка ФП ;?;data;;данные;
;;;1;накопитель ФП 1 / оперативная память ФП ;;;;;
;;;2;накопитель ФП 2 ;;;;;
;;;3;часы ;;;;;
;;;4;энергонезависимая память ;;;;;
;;;5;процессор/память программ ФП ;;;;;
;;;6;память программ ККТ ;;;;;
;;;7;оперативная память ККТ ;;;;;
;;;8;образ файловой системы ;;;;;
;;;9;образ uLinux ;;;;;
;;;10;исполняемый файл ПО ;;;;;
;;;134;память программ ККТ ;;;;;
02;;;;Запрос данных ;;;;Запрос данных ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;Код устройства в команде запроса дампа ;
;;;;;1;number;;Номер блока данных ;
;;;;;?;data;;Блок данных ;
03;;;;Прерывание выдачи данных ;;;;Прерывание выдачи данных ;
;4;number;;пароль оператора;1;error#;;код ошибки;
10;;;;Короткий запрос состояния ККТ ;;;;Короткий запрос состояния ККТ ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;1;bitfield;;Флаг ККТ 1;
;;;;;;;;Рулон операционного журнала (контрольной ленты) (0 – нет, 1 – есть) ;
;;;;;;;;Рулон чековой ленты (0 – нет, 1 – есть) ;
;;;;;;;;Верхний датчик подкладного документа (0 – нет, 1 – да) ;
;;;;;;;;Нижний датчик подкладного документа (0 – нет, 1 – да) ;
;;;;;;;;Положение десятичной точки (0 – 0 знаков, 1 – 2 знака) ;
;;;;;;;;ЭКЛЗ (0 – нет, 1 – есть) ;
;;;;;;;;Оптический датчик операционного журнала (контрольной ленты) (0 – бумаги нет, 1 – бумага есть) ;
;;;;;;;;Оптический датчик чековой ленты (0 – бумаги нет, 1 – бумага есть) ;
;;;;;1;bitfield;;Флаг ККТ 2;
;;;;;;;;Рычаг термоголовки контрольной ленты (0 – поднят, 1 – опущен) ;
;;;;;;;;Рычаг термоголовки чековой ленты (0 – поднят, 1 – опущен) ;
;;;;;;;;Крышка корпуса ККТ (0 – опущена, 1 – поднята) ;
;;;;;;;;Денежный ящик (0 – закрыт, 1 – окрыт) ;
;;;;;;;;Отказ правого датчика принтера (0 – нет, 1 – да)
Бумага на входе в презентер (0 – нет, 1 – да)
Модель принтера (0 – MLT-286, 1 – модель MLT-286-1) 
Крышка корпуса ККТ контрольной ленты (0 – опущена, 1 – поднята) ;
;;;;;;;;Отказ левого датчика принтера (0 – нет, 1 – да)
Бумага на выходе из презентера (0 – нет, 1 – да) ;
;;;;;;;;ЭКЛЗ почти заполнена (0 – нет, 1 – да) ;
;;;;;;;;Увеличенная точность количества (0 – нормальная точность, 1 – увеличенная точность) [для ККМ без ЭКЛЗ]. Для ККМ с ЭКЛЗ (1 – нормальная точность, 0 – увеличенная точность) 
Буфер принтера непуст (0 – пуст, 1 – не пуст) [для фискального блока Штрих-ПОС-Ф];
;;;;;1;number;;Режим ККТ ;
;;;;;;;1;Выдача данных ;
;;;;;;;2;Открытая смена, 24 часа не кончились ;
;;;;;;;3;Открытая смена, 24 часа кончились ;
;;;;;;;4;Закрытая смена ;
;;;;;;;5;Ожидание подтверждения ввода даты. ;
;;;;;;;6;Не используется ;
;;;;;;;7;Не используется ;
;;;;;;;8;Открытый документ ;
;;;;;;;9;Режим разрешения технологического обнуления ;
;;;;;;;10;Тестовый прогон ;
;;;;;1;number;;Подрежим ККТ ;
;;;;;;;0;Бумага есть ;
;;;;;;;1;Пассивное отсутствие бумаги ;
;;;;;;;2;Активное отсутствие бумаги ;
;;;;;;;3;После активного отсутствия бумаги ;
;;;;;;;4;Фаза печати операции полных фискальных отчетов;
;;;;;;;5;Фаза печати операции ;
;;;;;1;number;;Количество операций в чеке. Младший байт двухбайтного числа ;
;;;;;1;number;;Напряжение резервной батареи ;
;;;;;1;number;;Напряжение источника питания ;
;;;;;1;number;;Код ошибки ФП;
;;;;;1;number;;Код ошибки ЭКЛЗ;
;;;;;1;number;;Количество операций в чеке. старший байт двухбайтного числа;
;;;;;3;data;;Зарезервировано ;
;;;;;1;number;;Результат последней печати;
;;;;;;;0;печать завершена успешно ;
;;;;;;;1;произошел обрыв бумаги ;
;;;;;;;2;ошибка принтера (перегрев головки, другая ошибка) ;
;;;;;;;5;идет печать ;
11;;;;Запрос состояния ККТ ;1;;;Запрос состояния ККТ ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;2;string;;Версия ПО ККТ;
;;;;;2;number;;Сборка ПО ККТ;
;;;;;1;number;;Дата ПО ККТ ДД;
;;;;;1;number;;Дата ПО ККТ ММ;
